#{"t_start": 1563907828.7900326, "env_id": "gymXplane-v2"}
r,l,t
3581.752976,966,45528.353805
6412.66941,2253,45784.725255
1835.124505,673,45861.00799
2339.368046,891,45962.21147
1821.649842,650,46036.228161
630.32846,194,46058.425779
870.662309,67,46066.083951
1137.009414,488,46121.359573
5243.207898,1837,46329.786063
-42.095451,69,46337.671182
-27.086546,218,46362.465552
65.217744,106,46374.664621
-42.753172,72,46382.762471
-31.3252,143,46398.969585
-24.336402,1,46399.086697
37.132366,93,46409.710276
20.533127,153,46427.239327
-13.309493,11,46428.549161
-33.440679,130,46443.28051
-22.119623,6,46443.946499
-7.824296,73,46452.231748
785.063286,391,46496.682277
-19.441175,7,46497.450362
-23.301388,2,46497.676624
2447.870365,663,46572.721295
-41.985798,139,46588.413208
2647.066434,1127,46716.315752
1435.216212,571,46781.274609
-46.593417,60,46788.095385
-21.055905,13,46789.555063
22.461157,90,46799.688133
-23.3217,1,46799.801399
-22.89276,1,46799.918889
24.399707,87,46809.818847
-33.063443,76,46818.333173
79.522837,178,46838.633283
999.498165,441,46888.896035
725.991337,214,46913.061423
-3.425871,149,46930.011579
23.794263,230,46956.268051
-19.877018,141,46972.216343
-60.258497,131,46987.330428
-28.829257,62,46994.265157
28.370542,235,47020.9366
17.309913,84,47030.602042
-16.703309,5,47031.150706
-29.50755,65,47038.465921
-23.77246,1,47038.582004
-25.31989,2,47038.806926
-35.170292,68,47046.507359
-34.529393,68,47054.216436
-12.860825,73,47062.463937
-33.267649,71,47070.429435
-43.202134,60,47077.295426
-53.541079,138,47092.846027
-38.627334,64,47100.122637
-21.888272,145,47116.610482
-22.037267,3,47116.932501
-27.558468,78,47125.730313
-25.640409,65,47133.05879
-40.468546,69,47140.884542
963.211633,422,47188.704554
-28.880389,211,47212.918792
-23.77055,1,47213.032328
-23.894931,1,47213.139346
-23.02353,75,47221.634009
-38.984389,203,47244.937818
-17.35212,81,47254.182519
64.161721,102,47265.676637
-33.767472,137,47281.127148
-27.512077,68,47289.033317
-15.582059,7,47289.810745
0.715974,76,47298.594052
-11.097525,8,47299.518364
83.288856,318,47335.669434
1627.076622,513,47394.231727
3.498602,85,47403.769756
1623.804701,362,47444.618008
1600.348826,650,47518.670117
1391.856508,599,47586.760966
2979.156346,805,47678.327108
-15.747511,75,47686.760085
8.343553,83,47696.181955
-9.903738,9,47697.208926
0.748911,82,47706.513979
-23.567298,1,47706.628773
-23.564961,1,47706.732923
-24.479504,1,47706.839292
-40.201188,68,47714.54577
-23.403176,69,47722.433921
3.422267,154,47740.023397
-24.687218,72,47748.225701
-21.348336,75,47756.860845
-35.474377,70,47764.727797
-26.762097,75,47773.160401
6123.403351,2131,48015.951095
820.432775,367,48057.5237
2940.743863,1078,48179.912087
5.525445,85,48189.56284
1074.367924,606,48258.570696
-23.25971,1,48258.691877
-23.863946,1,48258.813252
-23.742597,1,48258.924373
-24.495235,1,48259.062947
1039.481829,548,48321.385947
-13.460671,75,48329.953074
7402.175748,2385,48601.617087
2534.568317,947,48709.676859
1676.594349,550,48772.315677
